owner_kind	owner_id	class_count
clojure-namespace	clojure.tools.analyzer.passes.jvm.warn_on_reflection	10
clojure-namespace	clojure.tools.analyzer.passes.source_info	6
clojure-namespace	clojure.tools.analyzer.passes.trim	10
clojure-namespace	clojure.tools.analyzer.passes.uniquify	19
clojure-namespace	clojure.tools.analyzer.passes.warn_earmuff	5
clojure-namespace	clojure.tools.analyzer.utils	41
clojure-namespace	clojure.tools.cli	83
clojure-namespace	clojure.tools.reader	73
clojure-namespace	clojure.tools.reader.default_data_readers	36
clojure-namespace	clojure.tools.reader.impl.commons	14
clojure-namespace	clojure.tools.reader.impl.errors	40
clojure-namespace	clojure.tools.reader.impl.inspect	20
clojure-namespace	clojure.tools.reader.impl.utils	17
clojure-namespace	clojure.tools.reader.reader_types	85
clojure-namespace	cognitect.anomalies	6
clojure-namespace	cognitect.hmac_authn	51
clojure-namespace	cognitect.http_client	38
clojure-namespace	cognitect.http_client.specs	22
clojure-namespace	cognitect.nano_impl	83
clojure-namespace	cognitect.nano_impl.aws_detect	15
clojure-namespace	cognitect.nano_impl.marshaling	42
clojure-namespace	cognitect.nano_impl.registration	139
clojure-namespace	cognitect.nano_impl.server	62
clojure-namespace	cognitect.transit	70
clojure-namespace	datomic.adopter	4
clojure-namespace	datomic.aggregation	20
clojure-namespace	datomic.api	67
clojure-namespace	datomic.artemis_client	92
clojure-namespace	datomic.artemis_server	12
clojure-namespace	datomic.assert	10
clojure-namespace	datomic.async	9
clojure-namespace	datomic.aws	15
clojure-namespace	datomic.aws_detect	8
clojure-namespace	datomic.aws_monitor	26
clojure-namespace	datomic.backup	136
clojure-namespace	datomic.backup_cli	11
clojure-namespace	datomic.btset	53
clojure-namespace	datomic.builtins	11
clojure-namespace	datomic.cache	32
clojure-namespace	datomic.cache.caffeine	29
clojure-namespace	datomic.cache.impl	30
clojure-namespace	datomic.callback	8
clojure-namespace	datomic.cassandra	18
clojure-namespace	datomic.cassandra_v4	17
clojure-namespace	datomic.cassandra_values	22
clojure-namespace	datomic.cassandra_values_v4	23
clojure-namespace	datomic.cast2slf4j	11
clojure-namespace	datomic.cast2slf4j.peer_server	11
clojure-namespace	datomic.catalog	43
clojure-namespace	datomic.cleanup	13
