path	origin	archive	reading_group_hint	counterpart	baseline_relation	baseline_sha256
1.0.7705/peer/src-clj/datomic/core2/val_store/s3/sdkv1.clj	recovered-datomic-initializer		core2-abstractions-and-providers		only-in-this-artifact	b41bd3c407acef8de4d625a1c72aa9470f0ca65d06e4d365ba1b674f2b091ce8
1.0.7705/peer/src-clj/datomic/core2/val_store/s3/sdkv2.clj	recovered-datomic-initializer		core2-abstractions-and-providers		only-in-this-artifact	2cbca15db139f38455bb60ddd5d3dea6d15434dc92461658bb014d7b65778003
1.0.7705/peer/src-clj/datomic/core2/val_store/spi.clj	recovered-datomic-initializer		core2-abstractions-and-providers		only-in-this-artifact	af03bf47e73ab33695c727972b56bd27233881e9547e823d9be55f9e927c0cf0
1.0.7705/peer/src-clj/datomic/crypto.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/crypto.clj	same-path-not-byte-identical	e751055f0f4035305f987e9c8db82e3d42b97b403aa430f0838d4574f9ec8a24
1.0.7705/peer/src-clj/datomic/data.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/data.clj	byte-identical	5b0741cf8377101bb2d5b8d1f4c6d0485730ae81d4faa02aa010fe71b7479fd8
1.0.7705/peer/src-clj/datomic/datafy.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/datafy.clj	same-path-not-byte-identical	c8c419457e95fce0382396fe31d8065a3d9e47807876cce745f03cefb752983e
1.0.7705/peer/src-clj/datomic/datalog.clj	recovered-datomic-initializer		shared-structures-and-encoding	1.0.7705/transactor/src-clj/datomic/datalog.clj	same-path-not-byte-identical	e9d06b002ee7f9748d90412dbc74418ca7d77ca30709ccfc79c454f994247008
1.0.7705/peer/src-clj/datomic/db.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/db.clj	same-path-not-byte-identical	fb2220d2cb5995a88cd4f75a7b3baa126a3dc32bda077a5d2cbac9c474ed4b5f
1.0.7705/peer/src-clj/datomic/db_io.clj	recovered-datomic-initializer		storage-abstractions-and-providers	1.0.7705/transactor/src-clj/datomic/db_io.clj	same-path-not-byte-identical	f92f5843a918e2041cdcae7f87e66422738a0b3887ebae4f25cb6fba929c905d
1.0.7705/peer/src-clj/datomic/ddb.clj	recovered-datomic-initializer		non-target-provider-or-integration-evidence	1.0.7705/transactor/src-clj/datomic/ddb.clj	same-path-not-byte-identical	411dfed8eb2b5f7e69c703c040029cac547ef1916268006e2f3603952c902bef
1.0.7705/peer/src-clj/datomic/ddb_cluster.clj	recovered-datomic-initializer		non-target-provider-or-integration-evidence	1.0.7705/transactor/src-clj/datomic/ddb_cluster.clj	same-path-not-byte-identical	dcc1d64f53f463e139de9eb6979a802c1b11865d43dd318761e1c2dfdc18d821
1.0.7705/peer/src-clj/datomic/ddb_s3_cluster.clj	recovered-datomic-initializer		non-target-provider-or-integration-evidence	1.0.7705/transactor/src-clj/datomic/ddb_s3_cluster.clj	same-path-not-byte-identical	abcb4a33e181a4695b3077567215464ebc8c970a0f8bcfc56aed29182fbe2719
1.0.7705/peer/src-clj/datomic/ddb_values.clj	recovered-datomic-initializer		non-target-provider-or-integration-evidence	1.0.7705/transactor/src-clj/datomic/ddb_values.clj	same-path-not-byte-identical	c07458b879eda825012ad80a3faa6891d59b93b52fb0258875dd519a4bc2ab34
1.0.7705/peer/src-clj/datomic/domain.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/domain.clj	same-path-not-byte-identical	7a38d22598a23b3e35b455683b4ac0f2a64be9a80d0cac8ee810b6e4b4de4994
1.0.7705/peer/src-clj/datomic/error.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/error.clj	same-path-not-byte-identical	8fa4e034525eb49430f31e5a1defa4e21b13b7e36fe26d44aada140062c6aa2a
1.0.7705/peer/src-clj/datomic/excise.clj	recovered-datomic-initializer		operations-and-lifecycle	1.0.7705/transactor/src-clj/datomic/excise.clj	same-path-not-byte-identical	b66c203b55bdf6e4a02db4b7e9d609db5db426218d9bfa8a2514507b5a3e15bb
1.0.7705/peer/src-clj/datomic/extension_resolver.clj	recovered-datomic-initializer		storage-abstractions-and-providers	1.0.7705/transactor/src-clj/datomic/extension_resolver.clj	same-path-not-byte-identical	deb857239f7df302e8318d70b0e614535ffb0220df19c598f40235e42c83f100
1.0.7705/peer/src-clj/datomic/extensions.clj	recovered-datomic-initializer		storage-abstractions-and-providers	1.0.7705/transactor/src-clj/datomic/extensions.clj	same-path-not-byte-identical	f32a96a746ce853344f1d2f18a4fdfc4520e2fc9c627842359ae7b3b46d6d10c
1.0.7705/peer/src-clj/datomic/external_sort.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/external_sort.clj	same-path-not-byte-identical	184452e3ba067510c2961fd2cc8306edd2e65d4a59d70caaa797c8b447363aa7
1.0.7705/peer/src-clj/datomic/external_sort_datoms.clj	recovered-datomic-initializer		shared-structures-and-encoding	1.0.7705/transactor/src-clj/datomic/external_sort_datoms.clj	same-path-not-byte-identical	5643d5334c1ee2a4ae83cf10e15082f7e1051e5ff55f1bcd91c618c189c3d927
1.0.7705/peer/src-clj/datomic/fressian.clj	recovered-datomic-initializer		shared-structures-and-encoding	1.0.7705/transactor/src-clj/datomic/fressian.clj	same-path-not-byte-identical	1abda4b9ead9e2e9ca59d0da1e3479a7d0a867e0ee38e80e7cf2f693109b8095
1.0.7705/peer/src-clj/datomic/fsbackup.clj	recovered-datomic-initializer		operations-and-lifecycle	1.0.7705/transactor/src-clj/datomic/fsbackup.clj	same-path-not-byte-identical	b1a3f27f442c6d0f110d4afab4824993e73862a06f625a4ecc7aa86864f0c0ef
1.0.7705/peer/src-clj/datomic/fulltext.clj	recovered-datomic-initializer		query-navigation-and-search	1.0.7705/transactor/src-clj/datomic/fulltext.clj	same-path-not-byte-identical	d03cd98ed926b83ae50a54eac2ae09de669b5d3ff5bd8a277cac279eb0ff7a3d
1.0.7705/peer/src-clj/datomic/fulltext_index.clj	recovered-datomic-initializer		shared-structures-and-encoding	1.0.7705/transactor/src-clj/datomic/fulltext_index.clj	same-path-not-byte-identical	c828d5989748a81eef7e0ce951bf2a2a7c03a75a4c7e3d50b85887d2772fc7de
1.0.7705/peer/src-clj/datomic/function.clj	recovered-datomic-initializer		storage-abstractions-and-providers	1.0.7705/transactor/src-clj/datomic/function.clj	same-path-not-byte-identical	500e49c100aaf7d22d828a02044b844b30f4bc1f192d7f6bc12a3b3fc39dea26
1.0.7705/peer/src-clj/datomic/future.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/future.clj	same-path-not-byte-identical	3f0599f69ad94f80fc9331c3452bf08929c5902cbddcc8c253dc8e8467b7ada8
